,Unnamed: 0,English,Spanish
0,0,you,tú
1,1,i,i
2,2,the,el
3,3,to,a
4,4,a,a
5,5,s,s
6,7,and,y
7,8,that,eso
8,9,t,el
9,10,of,de
10,11,is,es
11,12,in,en
12,13,what,qué
13,14,we,nosotros
14,15,me,a mí
15,16,this,este
16,17,he,él
17,19,my,mi
18,20,on,en
19,21,have,tener
20,22,your,su
21,23,do,hacer
22,24,was,era
23,25,m,metro
24,26,no,No
25,27,be,ser
26,28,are,son
27,29,don,don
28,30,re,re
29,31,know,saber
30,32,can,poder
31,33,with,con
32,34,but,pero
33,35,all,todo
34,36,so,entonces
35,37,just,justo
36,38,there,allá
37,39,here,aquí
38,40,they,ellos
39,41,like,como
40,42,ll,todos
41,43,get,conseguir
42,44,she,ella
43,45,go,ir
44,46,if,si
45,47,right,bien
46,48,about,acerca de
47,49,up,arriba
48,50,at,en
49,51,him,a él
50,52,now,ahora
51,53,oh,Vaya
52,54,one,uno
53,55,come,venir
54,56,well,Bueno
55,57,her,su
56,58,how,cómo
57,59,yeah,sí
58,60,ve,ve
59,61,will,voluntad
60,62,got,consiguió
61,63,want,desear
62,64,think,pensar
63,65,as,como
64,66,see,ver
65,67,did,hizo
66,68,good,bien
67,69,who,OMS
68,70,why,por qué
69,71,let,dejar
70,72,his,su
71,73,yes,Sí
72,74,when,cuando
73,75,time,tiempo
74,76,an,un
75,77,okay,bueno
76,78,back,atrás
77,79,look,mirar
78,80,us,a nosotros
79,81,would,quería
80,82,them,a ellos
81,83,where,dónde
82,85,take,llevar
83,86,then,entonces
84,87,had,tenía
85,88,or,o
86,89,been,estado
87,90,our,nuestro
88,91,gonna,ir a
89,92,tell,decir
90,93,really,en realidad
91,94,man,hombre
92,95,some,alguno
